"7520","HU16","HU-Lagerort (WM)"
"7520","HU17","HU-Lagerort (WM)"
"7520","HU18","HU-Lagerort (WM)"
"7520","HU19","HU-Lagerort (WM)"
"7520","HU20","HU-Lagerort (WM)"
"7520","HU21","HU-Lagerort (WM)"
"CHD3","L029","Lagerort 029"
"7520","HU22","HU-Lagerort (WM)"
"CHD3","L030","Lagerort 030"
"7520","HU23","HU-Lagerort (WM)"
"7520","HU24","HU-Lagerort (WM)"
"CHD3","L099","Lagerort 099"
"7520","HU25","HU-Lagerort (WM)"
"CHD3","L100","Lagerort 100"
"6651","DH20","WM Storage"
"7520","HU26","HU-Lagerort (WM)"
"CHD3","L101","Lagerort 101"
"7520","HU27","HU-Lagerort (WM)"
"CHD3","L102","Lagerort 102"
"7520","HU28","HU-Lagerort (WM)"
"CHD3","L103","Lagerort 103"
"6651","FTMD","FT\, merchandise"
"7520","HU29","HU-Lagerort (WM)"
"CHD3","L104","Lagerort 104"
"6651","FTRD","FT\, receipient"
"7520","HU30","HU-Lagerort (WM)"
"CHD3","L105","Lagerort 105"
"7520","HUMM","HU-Lagerort (IM)"
"6651","ITSW","IT Office SW"
"CHD3","L106","Lagerort 106"
"7520","IPRD","IPR demo S.Loc"
"6651","KB00","Kanban"
"CHD3","L107","Lagerort 107"
"7520","L000","Lagerort 000"
"7520","L001","Lagerort 001"
"6651","KB01","Kanban Target"
"CHD3","L108","Lagerort 108"
"0001","0001","Lagerort 0001"
"7520","L002","Lagerort 002"
"CHD3","L109","Lagerort 109"
"6651","KB02","Kanban source"
"7520","L003","Lagerort 003"
"CHD3","L110","Lagerort 110"
"6651","LSS1","Lean WIP 1"
"0001","0002","Lager 0002"
"7520","L004","Lagerort 004"
"CHD3","L111","Lagerort 111"
"6651","MAM1","MAM Storage Loc1"
"0001","0088","Lager 0088 (WM)"
"7520","L005","Lagerort 005"
"CHD3","L112","Lagerort 112"
"6651","MG1","Warehouse Marco"
"0005","0001","Materiallager"
"7520","L006","Lagerort 006"
"CHD3","L113","Lagerort 113"
"0005","0002","Fertigwarenlager"
"6651","NSER","Unservic. parts"
"7520","L007","Lagerort 007"
"CHD3","L114","Lagerort 114"
"6651","RFID","RFID storage loc"
"0005","0003","WE-Lager Fertigu"
"7520","L008","Lagerort 008"
"CHD3","L115","Lagerort 115"
"6651","SERV","Servic. parts"
"7520","L009","Lagerort 009"
"0005","0004","FHM-Lager"
"CHD3","L116","Lagerort 116"
"6651","SRES","Storage Resource"
"0005","0005","Gefahrstoffe"
"7520","L010","Lagerort 010"
"CHD3","L117","Lagerort 117"
"6651","VAN1","Van 1 MG"
"0005","0006","Aussenlager"
"CHD3","L118","Lagerort 118"
"7520","L011","Lagerort 011"
"6651","VAN2","Van 2 MG"
"0005","0007","HU-Lager ohne WM"
"7520","L012","Lagerort 012"
"CHD3","L119","Lagerort 119"
"6651","VAN3","Van 3 MG"
"0005","0009","TRM storage loc."
"7520","L013","Lagerort 013"
"CHD3","L120","Lagerort 120"
"6651","WIP1","DuFresne's WIP1"
"0005","0088","Zentrallager WM"
"7520","L014","Lagerort 014"
"CHD3","L121","Lagerort 121"
"6652","0001","Warehouse 0001"
"0005","0100","Central WM"
"7520","L015","Lagerort 015"
"CHD3","L122","Lagerort 122"
"0005","0101","Central WM"
"6652","0002","Warehouse 0002"
"7520","L016","Lagerort 016"
"CHD3","L123","Lagerort 123"
"0005","0102","Central WM"
"6652","0003","HUM Not WSE MGT"
"CHD3","L124","Lagerort 124"
"S332","0124","Central WM"
"7520","L017","Lagerort 017"
"1600","SL04","External Repair"
"0005","0103","Central WM"
"6652","0010","Multimode SLOC"
"7520","L018","Lagerort 018"
"CHD3","L125","Lagerort 125"
"0005","0104","Central WM"
"7520","L019","Lagerort 019"
"6652","0050","HUM Warehouse"
