"7920","A","","20190620","MM","600000.00","0.00","0.00","1000","20000.000","","","","","000000","","","0001","","000000000000001301","ST","00000000","","EUR","1000","00","0","",""
"3100","A","","20190620","MM","5573000.00","0.00","0.00","1200","10000.000","","","","","000000","","","0001","","T-ASA26","ST","00000000","","EUR","1200","00","0","",""
"7920","A","","20190620","MM","1000000.00","0.00","0.00","1000","20000.000","","","","","000000","","","0001","","000000000000001308","ST","00000000","","EUR","1000","00","0","",""
"3100","A","","20190620","MM","191730.00","0.00","0.00","1200","1000.000","","","","","000000","","","PL01","","T-B4017","ST","00000000","","EUR","1200","00","0","",""
"3100","A","","20190620","MM","5573000.00","0.00","0.00","1200","10000.000","","","","","000000","","","0001","","T-ASA27","ST","00000000","","EUR","1200","00","0","",""
"7920","A","","20190620","MM","15300.00","0.00","0.00","1000","9.000","","","","","000000","","","0001","","000000000000001311","ST","00000000","","EUR","1000","00","0","",""
"","A","U","20190620","MM","0.00","0.00","0.00","3000","2.000","","","","","000000","","","0001","","IT1000","ST","00000000","","USD","3000","00","0","",""
"3100","A","","20190620","MM","191730.00","0.00","0.00","1200","1000.000","","","","","000000","","","PL01","","T-B4018","ST","00000000","","EUR","1200","00","0","",""
"3100","A","","20190620","MM","5573000.00","0.00","0.00","1200","10000.000","","","","","000000","","","0001","","T-ASA28","ST","00000000","","EUR","1200","00","0","",""
"3000","A","","20190620","MM","102000.00","0.00","0.00","1100","200000.000","","","","","000000","","","0002","","T-RF129","L","00000000","","EUR","1100","00","0","",""
"7920","A","","20190620","MM","12000.00","0.00","0.00","1000","10.000","","","","","000000","","","0001","","000000000000001312","ST","00000000","","EUR","1000","00","0","",""
"","A","U","20190620","MM","0.00","0.00","0.00","3000","3.000","","","","","000000","","","0001","","IT1001","ST","00000000","","USD","3000","00","0","",""
"3000","A","","20190620","MM","7349.10","0.00","0.00","1200","80.000","","","","","000000","","","0001","","DPC9022","ST","00000000","","EUR","1200","00","0","",""
"3100","A","","20190620","MM","191730.00","0.00","0.00","1200","1000.000","","","","","000000","","","PL01","","T-B4019","ST","00000000","","EUR","1200","00","0","",""
"3100","A","","20190620","MM","5573000.00","0.00","0.00","1200","10000.000","","","","","000000","","","0001","","T-ASA29","ST","00000000","","EUR","1200","00","0","",""
"3000","A","","20190620","MM","102000.00","0.00","0.00","1100","200000.000","","","","","000000","","","0002","","T-RF130","L","00000000","","EUR","1100","00","0","",""
"7920","A","","20190620","MM","650000.00","0.00","0.00","1000","1000.000","","","","","000000","","","0001","","000000000000001313","ST","00000000","","EUR","1000","00","0","",""
"","A","U","20190620","MM","0.00","0.00","0.00","3000","3.000","","","","","000000","","","0001","","IT1002","ST","00000000","","USD","3000","00","0","",""
"3000","A","","20190620","MM","10117.14","0.00","0.00","1200","90.000","","","","","000000","","","0001","","DPC9023","ST","00000000","","EUR","1200","00","0","",""
"3000","A","","20190620","MM","912.50","0.00","0.00","3000","250.000","","","","","000000","","","0001","","400-430","ST","00000000","","USD","3000","00","0","",""
"3100","A","","20190620","MM","191730.00","0.00","0.00","1200","1000.000","","","","","000000","","","PL01","","T-B4020","ST","00000000","","EUR","1200","00","0","",""
"3100","A","","20190620","MM","5573000.00","0.00","0.00","1200","10000.000","","","","","000000","","","0001","","T-ASA30","ST","00000000","","EUR","1200","00","0","",""
"3000","A","","20190620","MM","3067.75","0.00","0.00","1100","6000.000","","","","","000000","","","0002","","T-RF300","KG","00000000","","EUR","1100","00","0","",""
"7920","A","","20190620","MM","400000.00","0.00","0.00","1000","10000.000","","","","","000000","","","0001","","000000000000001321","ST","00000000","","EUR","1000","00","0","",""
