"","C","0080005626","C","Tor 1","2520.000","R100","","19990903","","LB","","","","R111","R111","NL","19990906","","","02","","472.508","","","","00000000","00000000","","J","R100","FT3","35.280","R100","19990904","19990913","R111","1","0","K4","9"
"","C","0080017260","C","","8120.000","2400","","20120828","","KG","FH","","02","0000002402","0000002402","LF","20120904","","","02","","7250.000","","","","00000000","00000000","","J","2400","M3","21.750","2400","20120904","20120828","","1","0","K4","-7"
"","C","0080005628","C","Tor 1","3850.000","R100","","19990903","","OZ","","","","R110","R110","NL","19990906","","","02","","3850.000","","","","00000000","00000000","","J","R100","IN3","10395.000","R100","19990904","19990913","R110","1","0","K4","9"
"","C","0080017261","C","","3920.000","2400","","20120828","","KG","FH","","02","0000002402","0000002402","LF","20120904","","","02","","3500.000","","","","00000000","00000000","","J","2400","M3","10.500","2400","20120904","20120828","","1","0","K4","-7"
"","C","0080005629","C","Tor 1","2560.000","R100","","19990903","","OZ","","","","R111","R111","NL","19990906","","","02","","2560.000","","","","00000000","00000000","","J","R100","IN3","6912.000","R100","19990904","19990913","R111","1","0","K4","9"
"","C","0080006933","C","Tor Süd","7850.000","1000","","20000428","","KG","CIP","Frankfurt","02","0000001001","0000001001","LF","20000504","","","02","","7850.000","","","","00000000","00000000","R00130","J","1000","M3","53.000","1200","20000503","20000531","","1","0","K4","28"
"","C","0080005319","C","Tor 1","1128.000","R100","","19990705","","LB","","","","R110","R110","NL","19990705","","","02","","0.000","","","","00000000","00000000","","J","R100","FT3","188.940","R100","19990705","19990705","R110","1","0","K4","0"
"","C","0080017265","C","","5600.000","2500","","20120828","","KG","FH","Berlin","02","0000002503","0000002503","LF","20120904","","","02","","5000.000","","","","00000000","00000000","","J","2500","M3","15.000","2500","20120904","20120828","","1","0","K4","-7"
"","C","0080005631","C","Tor 1","3468.000","R100","","19990903","","LB","","","","R110","R110","NL","19990906","","","02","","3468.000","","","","00000000","00000000","","J","R100","IN3","156060.000","R100","19990904","19990913","R110","1","0","K4","9"
"","C","0080012859","C","","704.000","1000","","20030905","","KG","FH","Gera","02","0000001175","0000001175","LF","20030916","","","03","","704.000","","","","00000000","00000000","R00110","J","1000","","0.000","1200","20030915","20030905","","1","0","K4","-10"
"","C","0080014350","C","","495.000","3000","","20050328","","KG","FOB","From the Plant","","0000300700","0000300700","LF","20050330","","","01","","495.000","","","","00000000","00000000","000001","J","3020","","0.000","3200","20050330","20050323","","1","0","K4","-7"
"","C","0080009796","C","Unloading point 01","426.000","R300","","20011107","","LB","","","","","R310","NL","20011109","","","02","","390.500","","","","00000000","00000000","R300/1","J","R300","FT3","24.850","R300","20011108","20011107","R310","1","0","K4","-1"
"","C","0080005320","C","Tor 1","756.000","R100","","19990705","","LB","","","","R111","R111","NL","19990705","","","02","","0.000","","","","00000000","00000000","","J","R100","FT3","126.630","R100","19990705","19990705","R111","1","0","K4","0"
"","C","0080017266","C","","10920.000","2500","","20120828","","KG","FH","Berlin","02","0000002503","0000002503","LF","20120904","","","02","","9750.000","","","","00000000","00000000","","J","2500","M3","29.250","2500","20120904","20120828","","1","0","K4","-7"
"","C","0080006934","C","Tor Süd","3870.000","1000","","20000428","","KG","CIP","Frankfurt","02","0000001001","0000001001","LF","20000504","","","02","","3870.000","","","","00000000","00000000","R00130","J","1000","M3","77.400","1200","20000503","20000531","","1","0","K4","28"
"","C","0080005632","C","Tor 1","2312.000","R100","","19990903","","LB","","","","R111","R111","NL","19990906","","","02","","2312.000","","","","00000000","00000000","","J","R100","IN3","104040.000","R100","19990904","19990913","R111","1","0","K4","9"
"","C","0080012860","C","","16.000","1000","","20030905","","KG","FH","Gera","02","0000001175","0000001175","LF","20030916","","","03","","16.000","","","","00000000","00000000","R00110","J","1000","","0.000","1200","20030915","20030905","","1","0","K4","-10"
"","C","0080005321","C","Tor 1","948.000","R100","","19990705","","LB","","","","R112","R112","NL","19990705","","","02","","0.000","","","","00000000","00000000","","J","R100","FT3","158.790","R100","19990705","19990705","R112","1","0","K4","0"
"","A","0080014425","A","","224.000","3000","","20050513","","KG","FOB","From the Plant","02","0000300700","0000300700","LF","20050505","","","02","","224.000","","","","00000000","00000000","000001","J","3020","","0.000","3200","20050505","00000000","","1","0","K4","0"
"","C","0080017277","C","","3360.000","2400","","20120905","","KG","FH","","02","0000002401","0000002401","LF","20120912","","","01","","3000.000","","","","00000000","00000000","","J","2400","M3","9.000","2400","20120912","20120905","","1","0","K4","-7"
"","C","0080009799","C","Unloading point 01","372.000","R300","","20011107","","LB","","","","","R313","NL","20011109","","","02","","341.000","","","","00000000","00000000","R300/1","J","R300","FT3","21.700","R300","20011108","20011107","R313","1","0","K4","-1"
"","C","0080007070","C","Tor A32","560.800","1000","","20000515","","KG","CPT","Dresden","06","0000001460","0000001460","LF","20000508","","","02","","560.800","","","","00000000","00000000","R00150","J","1000","M3","0.900","1200","20000508","20000531","","1","0","K4","23"
"","C","0080005634","C","Tor 1","1539.000","R100","","19990903","","LB","","","","R110","R110","NL","19990906","","","02","","1520.000","","","","00000000","00000000","","J","R100","FT3","26.296","R100","19990904","19990913","R110","1","0","K4","9"
"","C","0080012861","C","","1016.625","1000","","20030910","","KG","CFR","Köln","03","0000002130","0000002130","LF","20030909","","","02","","1016.625","","","","00000000","00000000","R00135","J","1000","","0.000","1200","20030908","20030911","","1","0","K4","3"
"","C","0080005361","C","Unloading point 01","4040.000","R300","","19990707","","LB","","","","R310","R310","NL","19990709","","","02","","0.000","","","","00000000","00000000","R300/1","J","R300","IN3","43632.000","R300","19990708","19990707","R310","1","0","K4","-1"
"","A","0080014427","A","","854.000","3000","","20050513","","KG","FOB","From the Plant","","0000300710","0000300710","LF","20050505","","","02","","854.000","","","","00000000","00000000","000001","J","3020","","0.000","3200","20050505","00000000","","1","0","K4","0"
"","C","0080017278","C","","7280.000","2400","","20120905","","KG","FH","","02","0000002401","0000002401","LF","20120912","","","01","","6500.000","","","","00000000","00000000","","J","2400","M3","19.500","2400","20120912","20120905","","1","0","K4","-7"
"","C","0080005635","C","Tor 1","1012.500","R100","","19990903","","LB","","","","R111","R111","NL","19990906","","","02","","1000.000","","","","00000000","00000000","","J","R100","FT3","17.300","R100","19990904","19990913","R111","1","0","K4","9"
"","C","0080007071","C","Tor A32","170.000","1000","","20000515","","KG","CPT","Dresden","06","0000001460","0000001460","LF","20000508","","","02","","170.000","","","","00000000","00000000","R00150","J","1000","M3","1.650","1200","20000508","20000531","","1","0","K4","23"
"","C","0080003377","C","","376.500","1000","","19970124","","KG","CPT","Frankfurt","03","0000002140","0000002140","LF","19970123","","","02","","376.500","","","","00000000","00000000","R00130","J","1000","","0.000","1200","19970123","19970128","","1","0","K4","5"
"","C","0080012862","C","","668.175","1000","","20030910","","KG","CFR","Bonn","06","0000002007","0000002007","LF","20030911","","","02","","668.175","","","","00000000","00000000","","J","1000","","0.000","1200","20030911","20030911","","1","0","K4","0"
"","C","0080009406","C","Tor 1","500.000","R100","","20010808","","LB","","","","","R112","NL","20010810","","","02","","500.000","","","","00000000","00000000","","J","R100","IN3","10000.000","R100","20010810","20010808","R112","1","0","K4","-2"
"","C","0080005362","C","Unloading point 01","2700.000","R300","","19990707","","LB","","","","R311","R311","NL","19990709","","","02","","0.000","","","","00000000","00000000","R300/1","J","R300","IN3","29160.000","R300","19990708","19990707","R311","1","0","K4","-1"
"","C","0080014493","C","","668.175","3000","","20050610","","KG","FOB","From the Plant","","0000300701","0000300701","LF","20050613","","","02","","668.175","","","","00000000","00000000","","J","3020","","0.000","3200","20050613","20050612","","1","0","K4","-1"
"","C","0080017282","C","","6160.000","2400","","20120905","","KG","FH","","02","0000002402","0000002402","LF","20120912","","","02","","5500.000","","","","00000000","00000000","","J","2400","M3","16.500","2400","20120912","20120905","","1","0","K4","-7"
"","C","0080005640","C","Tor 1","5252.000","R100","","19990903","","LB","","","","R110","R110","NL","19990906","","","02","","2525.045","","","","00000000","00000000","","J","R100","IN3","45248.000","R100","19990904","19990913","R110","1","0","K4","9"
"","C","0080007073","C","Tor A1","588.000","1000","","20000515","","KG","CIP","Stuttgart","02","0000002004","0000002004","LF","20000509","","","02","","588.000","","","","00000000","00000000","R00125","J","1000","M3","5.250","1200","20000508","20000531","","1","0","K4","23"
